#Objectdata
#t: Tile


#t
t 0 0 0 0
t 2 0 0 0
t 2 0 -2 0
t 4 0 -2 0
t 4 0 -4 1
t 6 0 -4 0
t 6 0 -6 0
t 8 0 -6 0
t 8 0 -8 2
t 8 0 -10 0
t 8 0 -12 0
t 8 0 -14 0
t 8 0 -16 1
t 8 0 -18 0
t 8 0 -20 0
t 8 0 -22 0
t 6 0 -22 1
t 4 0 -22 0
t 2 0 -22 0
t 0 0 -22 0
t -2 0 -22 0
t -2 0 -24 0
t -2 0 -26 0
t -2 0 -28 2
t 0 0 -28 0
t 0 0 -30 0
t 0 0 -32 2
t 0 0 -34 0
t 0 0 -36 0
t 0 0 -38 0
t 0 0 -40 0
t 2 0 -40 0
t 4 0 -40 1
t 4 0 -42 0
t 4 0 -44 0
t 4 0 -46 1
t 4 0 -48 0
t 4 0 -50 0
t 4 0 -52 1
t 4 0 -54 0
t 4 0 -56 0
t 4 0 -58 0
t 4 0 -60 0
